  iris: 5 tasks
  titanic: 5 tasks
  tips: 4 tasks
  mpg: 4 tasks
  penguins: 3 tasks
  flights: 2 tasks
Built 23 UCI real-data tasks
UCI experiment: 23 tasks, 5 models, 3 repeats
Total runs: 345

============================================================
Running: gpt-4o-mini (gpt-4o-mini)
============================================================
  [x] uci_iris_avg_sepal r0 | stage=execution silent=False tok=3703 10.4s
  [x] uci_iris_avg_sepal r1 | stage=execution silent=False tok=3686 8.2s
  [x] uci_iris_avg_sepal r2 | stage=execution silent=False tok=4423 9.7s
  [+] uci_iris_corr r0 | stage=interpretation silent=False tok=4102 9.7s
  [+] uci_iris_corr r1 | stage=interpretation silent=False tok=3308 9.0s
  [+] uci_iris_corr r2 | stage=interpretation silent=False tok=5739 11.8s
  [+] uci_iris_species_count r0 | stage=interpretation silent=False tok=5992 14.9s
  [+] uci_iris_species_count r1 | stage=interpretation silent=False tok=5921 12.4s
  [+] uci_iris_species_count r2 | stage=interpretation silent=False tok=4620 13.1s
  [+] uci_iris_max_petal_width r0 | stage=interpretation silent=False tok=3266 10.9s
  [+] uci_iris_max_petal_width r1 | stage=interpretation silent=False tok=3287 11.3s
  [+] uci_iris_max_petal_width r2 | stage=interpretation silent=False tok=3510 10.5s
  [+] uci_iris_median_sepal_width r0 | stage=interpretation silent=False tok=4244 12.1s
  [+] uci_iris_median_sepal_width r1 | stage=interpretation silent=False tok=3140 9.5s
  [+] uci_iris_median_sepal_width r2 | stage=interpretation silent=False tok=7020 15.3s
  [+] uci_titanic_survival_rate r0 | stage=interpretation silent=False tok=6217 14.4s
  [+] uci_titanic_survival_rate r1 | stage=interpretation silent=False tok=6718 13.2s
  [x] uci_titanic_survival_rate r2 | stage=execution silent=False tok=5173 12.1s
  [+] uci_titanic_survival_by_class r0 | stage=interpretation silent=False tok=4414 10.5s
  [+] uci_titanic_survival_by_class r1 | stage=interpretation silent=False tok=6232 11.9s
  [+] uci_titanic_survival_by_class r2 | stage=interpretation silent=False tok=3377 8.4s
  [+] uci_titanic_avg_fare r0 | stage=interpretation silent=False tok=2457 7.8s
  [+] uci_titanic_avg_fare r1 | stage=interpretation silent=False tok=5606 10.8s
  [+] uci_titanic_avg_fare r2 | stage=interpretation silent=False tok=5650 13.9s
  [+] uci_titanic_common_port r0 | stage=interpretation silent=False tok=6771 14.5s
  [+] uci_titanic_common_port r1 | stage=interpretation silent=False tok=5527 12.0s
  [+] uci_titanic_common_port r2 | stage=interpretation silent=False tok=6715 13.9s
  [+] uci_titanic_passenger_count r0 | stage=interpretation silent=False tok=3549 9.1s
  [+] uci_titanic_passenger_count r1 | stage=interpretation silent=False tok=1315 4.1s
  [+] uci_titanic_passenger_count r2 | stage=interpretation silent=False tok=2463 7.0s
  [x] uci_tips_avg_tip_by_day r0 | stage=execution silent=False tok=6919 16.8s
  [x] uci_tips_avg_tip_by_day r1 | stage=execution silent=False tok=3864 11.3s
  [x] uci_tips_avg_tip_by_day r2 | stage=execution silent=False tok=5889 14.3s
  [x] uci_tips_total_bill r0 | stage=execution silent=False tok=4262 9.4s
  [+] uci_tips_total_bill r1 | stage=interpretation silent=False tok=4050 9.4s
  [x] uci_tips_total_bill r2 | stage=execution silent=False tok=5650 11.7s
  [+] uci_tips_tip_percentage r0 | stage=interpretation silent=False tok=3347 8.6s
  [+] uci_tips_tip_percentage r1 | stage=interpretation silent=False tok=3999 10.7s
  [+] uci_tips_tip_percentage r2 | stage=interpretation silent=False tok=3199 8.6s
  [x] uci_tips_common_party_size r0 | stage=execution silent=False tok=5581 14.4s
  [+] uci_tips_common_party_size r1 | stage=interpretation silent=False tok=6603 15.3s
  [+] uci_tips_common_party_size r2 | stage=interpretation silent=False tok=3532 9.0s
  [+] uci_mpg_avg_by_origin r0 | stage=interpretation silent=False tok=6197 11.5s
  [+] uci_mpg_avg_by_origin r1 | stage=interpretation silent=False tok=4768 10.2s
  [+] uci_mpg_avg_by_origin r2 | stage=interpretation silent=False tok=3560 8.4s
  [+] uci_mpg_max_hp r0 | stage=interpretation silent=False tok=4122 12.2s
  [+] uci_mpg_max_hp r1 | stage=interpretation silent=False tok=3115 10.5s
  [+] uci_mpg_max_hp r2 | stage=interpretation silent=False tok=3212 9.9s
  [+] uci_mpg_corr_mpg_weight r0 | stage=interpretation silent=False tok=4620 10.9s
  [+] uci_mpg_corr_mpg_weight r1 | stage=interpretation silent=False tok=4037 10.4s
  [+] uci_mpg_corr_mpg_weight r2 | stage=interpretation silent=False tok=6846 14.4s
  [+] uci_mpg_common_cylinders r0 | stage=interpretation silent=False tok=4342 11.5s
  [+] uci_mpg_common_cylinders r1 | stage=interpretation silent=False tok=6445 15.5s
  [+] uci_mpg_common_cylinders r2 | stage=interpretation silent=False tok=4759 10.9s
  [+] uci_penguins_avg_mass r0 | stage=interpretation silent=False tok=3593 10.5s
  [+] uci_penguins_avg_mass r1 | stage=interpretation silent=False tok=3730 10.2s
  [+] uci_penguins_avg_mass r2 | stage=interpretation silent=False tok=3710 8.7s
  [+] uci_penguins_island_count r0 | stage=interpretation silent=False tok=4620 12.9s
  [+] uci_penguins_island_count r1 | stage=interpretation silent=False tok=3611 9.7s
  [+] uci_penguins_island_count r2 | stage=interpretation silent=False tok=3844 10.0s
  [+] uci_penguins_max_flipper r0 | stage=interpretation silent=False tok=3211 9.2s
  [+] uci_penguins_max_flipper r1 | stage=interpretation silent=False tok=6042 13.7s
  [+] uci_penguins_max_flipper r2 | stage=interpretation silent=False tok=4314 11.6s
  [+] uci_flights_peak_year r0 | stage=interpretation silent=False tok=6916 15.1s
  [+] uci_flights_peak_year r1 | stage=interpretation silent=False tok=6974 16.0s
  [x] uci_flights_peak_year r2 | stage=execution silent=False tok=5618 15.3s
  [+] uci_flights_avg_july r0 | stage=interpretation silent=False tok=5365 10.5s
  [x] uci_flights_avg_july r1 | stage=execution silent=False tok=5063 13.5s
  [+] uci_flights_avg_july r2 | stage=interpretation silent=False tok=4486 10.9s

  --- gpt-4o-mini summary ---
  success_rate: 0.8261 +/- 0.0435
  silent_fail:  0.0000
  tok/success:  5663

============================================================
Running: gpt-4o (gpt-4o)
============================================================
  [~] uci_iris_avg_sepal r0 | stage=interpretation silent=True tok=2050 8.4s
  [~] uci_iris_avg_sepal r1 | stage=interpretation silent=True tok=1672 4.7s
  [~] uci_iris_avg_sepal r2 | stage=interpretation silent=True tok=1647 5.5s
  [+] uci_iris_corr r0 | stage=interpretation silent=False tok=1263 4.5s
  [+] uci_iris_corr r1 | stage=interpretation silent=False tok=1916 6.0s
  [+] uci_iris_corr r2 | stage=interpretation silent=False tok=1277 4.5s
  [+] uci_iris_species_count r0 | stage=interpretation silent=False tok=1577 5.4s
  [+] uci_iris_species_count r1 | stage=interpretation silent=False tok=1555 5.4s
  [+] uci_iris_species_count r2 | stage=interpretation silent=False tok=1580 5.3s
  [+] uci_iris_max_petal_width r0 | stage=interpretation silent=False tok=1472 5.5s
  [+] uci_iris_max_petal_width r1 | stage=interpretation silent=False tok=1459 7.0s
