run_id,task_id,dataset_id,suite,model,model_snapshot,provider,harness,variant,rep,api_status,parser_status,execution_status,task_correct,observability,failure_stage,failure_subcategory,is_infra_failure,infra_subtype,originating_step,propagation_depth,is_silent,recovered,tokens,tokens_input,tokens_output,cost_usd,final_answer,label_source,annotation_confidence,human_gold,adjudication_status
run_00000,tabular_eda_00,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,0,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1465,0,0,0.000205,food 2948,rule,,,pending
run_00001,tabular_eda_00,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,1,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1001,0,0,0.00014,food 2948,rule,,,pending
run_00002,tabular_eda_00,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,2,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1425,0,0,0.0002,food 2948,rule,,,pending
run_00003,tabular_eda_01,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,0,ok,ok,success,True,success,none,none,False,none,0,0,False,True,663,0,0,9.3e-05,4943,rule,,,pending
run_00004,tabular_eda_01,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,1,ok,ok,success,True,success,none,none,False,none,0,0,False,True,606,0,0,8.5e-05,4943,rule,,,pending
run_00005,tabular_eda_01,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,2,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1346,0,0,0.000188,4943,rule,,,pending
run_00006,tabular_eda_02,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,0,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1709,0,0,0.000239,books 1625.0,rule,,,pending
run_00007,tabular_eda_02,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,1,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1585,0,0,0.000222,books 1625.0,rule,,,pending
run_00008,tabular_eda_02,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,2,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1913,0,0,0.000268,books 1625.0,rule,,,pending
run_00009,tabular_eda_03,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,0,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1561,0,0,0.000219,clothing 6,rule,,,pending
run_00010,tabular_eda_03,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,1,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1364,0,0,0.000191,clothing 6,rule,,,pending
run_00011,tabular_eda_03,tabular_eda,synthetic,deepseek-v3,"deepseek-chat (rolling alias, June 2026)",ChatAnywhere,react_minimal,verifier,2,ok,ok,success,True,success,none,none,False,none,0,0,False,True,1401,0,0,0.000196,clothing 6,rule,,,pending
