task_id,suite,model,variant,rep,correct,failure_stage,is_silent,tokens,final_answer,causal_attributed,source_file,source_dir
tabular_eda_00,synthetic,deepseek-chat,verifier,0,True,none,False,1465,food 2948,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_00,synthetic,deepseek-chat,verifier,1,True,none,False,1001,food 2948,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_00,synthetic,deepseek-chat,verifier,2,True,none,False,1425,food 2948,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_01,synthetic,deepseek-chat,verifier,0,True,none,False,663,4943,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_01,synthetic,deepseek-chat,verifier,1,True,none,False,606,4943,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_01,synthetic,deepseek-chat,verifier,2,True,none,False,1346,4943,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_02,synthetic,deepseek-chat,verifier,0,True,none,False,1709,books 1625.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_02,synthetic,deepseek-chat,verifier,1,True,none,False,1585,books 1625.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_02,synthetic,deepseek-chat,verifier,2,True,none,False,1913,books 1625.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_03,synthetic,deepseek-chat,verifier,0,True,none,False,1561,clothing 6,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_03,synthetic,deepseek-chat,verifier,1,True,none,False,1364,clothing 6,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_03,synthetic,deepseek-chat,verifier,2,True,none,False,1401,clothing 6,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_04,synthetic,deepseek-chat,verifier,0,True,none,False,1504,toys 2056,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_04,synthetic,deepseek-chat,verifier,1,True,none,False,1282,toys 2056,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_04,synthetic,deepseek-chat,verifier,2,True,none,False,1315,toys 2056,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_05,synthetic,deepseek-chat,verifier,0,True,none,False,656,3358,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_05,synthetic,deepseek-chat,verifier,1,True,none,False,1473,3358,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_05,synthetic,deepseek-chat,verifier,2,True,none,False,647,3358,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_06,synthetic,deepseek-chat,verifier,0,True,none,False,1684,books 1421.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_06,synthetic,deepseek-chat,verifier,1,True,none,False,1862,books 1421.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_06,synthetic,deepseek-chat,verifier,2,True,none,False,1812,books 1421.0,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_07,synthetic,deepseek-chat,verifier,0,True,none,False,1307,toys 4,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_07,synthetic,deepseek-chat,verifier,1,True,none,False,1344,toys 4,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_07,synthetic,deepseek-chat,verifier,2,True,none,False,1139,toys 4,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_08,synthetic,deepseek-chat,verifier,0,True,none,False,993,clothing 685,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_08,synthetic,deepseek-chat,verifier,1,True,none,False,1692,clothing 685,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_08,synthetic,deepseek-chat,verifier,2,True,none,False,1873,clothing 685,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_09,synthetic,deepseek-chat,verifier,0,True,none,False,643,2833,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_09,synthetic,deepseek-chat,verifier,1,True,none,False,665,2833,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_09,synthetic,deepseek-chat,verifier,2,True,none,False,636,2833,True,deepseek-chat+verifier_detail.json,results_full
tabular_eda_10,synthetic,deepseek-chat,verifier,0,True,none,False,1804,clothing 697.0,True,deepseek-chat+verifier_detail.json,results_full
