Built 200 real DSBench tasks (xlsx-native v2)
Final experiment: 80 synthetic + 200 real DSBench = 280 tasks
Models: ['gpt-4o-mini', 'gpt-4o'] | Repeats: 3 | Total runs: 1680

============================================================
Running: gpt-4o-mini (gpt-4o-mini)
============================================================
  [+|S] tabular_eda_00 r0 | stage=interpretation silent=False tok=3565 13.2s
  [+|S] tabular_eda_00 r1 | stage=interpretation silent=False tok=6498 16.4s
  [x|S] tabular_eda_00 r2 | stage=execution silent=False tok=5139 14.1s
  [+|S] tabular_eda_01 r0 | stage=interpretation silent=False tok=3232 8.3s
  [+|S] tabular_eda_01 r1 | stage=interpretation silent=False tok=3616 7.7s
  [+|S] tabular_eda_01 r2 | stage=interpretation silent=False tok=4709 10.4s
  [+|S] tabular_eda_02 r0 | stage=interpretation silent=False tok=2868 8.8s
  [+|S] tabular_eda_02 r1 | stage=interpretation silent=False tok=5165 13.5s
  [+|S] tabular_eda_02 r2 | stage=interpretation silent=False tok=6777 17.3s
  [+|S] tabular_eda_03 r0 | stage=interpretation silent=False tok=4243 10.4s
  [+|S] tabular_eda_03 r1 | stage=interpretation silent=False tok=5495 11.0s
  [+|S] tabular_eda_03 r2 | stage=interpretation silent=False tok=4729 10.2s
  [x|S] tabular_eda_04 r0 | stage=execution silent=False tok=4877 13.7s
  [+|S] tabular_eda_04 r1 | stage=interpretation silent=False tok=4477 10.8s
  [+|S] tabular_eda_04 r2 | stage=interpretation silent=False tok=4471 11.8s
  [+|S] tabular_eda_05 r0 | stage=interpretation silent=False tok=5603 11.5s
  [+|S] tabular_eda_05 r1 | stage=interpretation silent=False tok=4578 9.4s
  [+|S] tabular_eda_05 r2 | stage=interpretation silent=False tok=5506 13.1s
  [+|S] tabular_eda_06 r0 | stage=interpretation silent=False tok=4529 12.5s
  [+|S] tabular_eda_06 r1 | stage=interpretation silent=False tok=5614 15.6s
  [x|S] tabular_eda_06 r2 | stage=execution silent=False tok=5602 13.4s
  [+|S] tabular_eda_07 r0 | stage=interpretation silent=False tok=7035 13.5s
  [+|S] tabular_eda_07 r1 | stage=interpretation silent=False tok=4549 9.1s
  [+|S] tabular_eda_07 r2 | stage=interpretation silent=False tok=5479 10.4s
  [+|S] tabular_eda_08 r0 | stage=interpretation silent=False tok=3472 9.9s
  [+|S] tabular_eda_08 r1 | stage=interpretation silent=False tok=4469 11.7s
  [+|S] tabular_eda_08 r2 | stage=interpretation silent=False tok=5302 14.0s
  [+|S] tabular_eda_09 r0 | stage=interpretation silent=False tok=5343 11.3s
  [+|S] tabular_eda_09 r1 | stage=interpretation silent=False tok=4321 10.0s
  [+|S] tabular_eda_09 r2 | stage=interpretation silent=False tok=5263 11.5s
  [+|S] tabular_eda_10 r0 | stage=interpretation silent=False tok=4766 11.8s
  [x|S] tabular_eda_10 r1 | stage=execution silent=False tok=5407 14.4s
  [+|S] tabular_eda_10 r2 | stage=interpretation silent=False tok=3647 10.5s
  [+|S] tabular_eda_11 r0 | stage=interpretation silent=False tok=3691 10.6s
  [+|S] tabular_eda_11 r1 | stage=interpretation silent=False tok=4727 11.5s
  [+|S] tabular_eda_11 r2 | stage=interpretation silent=False tok=4516 11.1s
