B3 Experiment: 95 tasks, 2 models, 3 repeats
Loaded baselines for: ['gpt-4o-mini', 'gpt-4o']

============================================================
Running B3: gpt-4o-mini+consistency (gpt-4o-mini)
============================================================
  [x|?] tabular_eda_00 r0 | tok=2640 11.7s 
  [~|?] tabular_eda_00 r1 | tok=2717 8.3s 
  [+|=] tabular_eda_00 r2 | tok=6750 18.0s 
  [+|=] tabular_eda_01 r0 | tok=1152 5.3s 
  [+|=] tabular_eda_01 r1 | tok=1150 5.3s 
  [+|=] tabular_eda_01 r2 | tok=1154 5.5s 
  [+|=] tabular_eda_02 r0 | tok=5454 14.9s 
  [+|=] tabular_eda_02 r1 | tok=2720 11.8s 
  [+|=] tabular_eda_02 r2 | tok=4437 12.9s 
  [+|=] tabular_eda_03 r0 | tok=3721 14.3s 
  [+|=] tabular_eda_03 r1 | tok=3631 14.8s 
  [+|=] tabular_eda_03 r2 | tok=4705 15.8s 
  [+|=] tabular_eda_04 r0 | tok=4951 15.2s 
  [~|?] tabular_eda_04 r1 | tok=2872 8.5s 
  [+|R] tabular_eda_04 r2 | tok=10139 27.4s (reconciled)
  [+|=] tabular_eda_05 r0 | tok=1148 6.2s 
  [+|=] tabular_eda_05 r1 | tok=1148 4.8s 
  [+|=] tabular_eda_05 r2 | tok=1148 5.2s 
  [+|=] tabular_eda_06 r0 | tok=3646 12.9s 
  [+|=] tabular_eda_06 r1 | tok=2755 10.1s 
  [+|=] tabular_eda_06 r2 | tok=5542 15.7s 
  [+|=] tabular_eda_07 r0 | tok=3602 12.0s 
  [+|=] tabular_eda_07 r1 | tok=3793 12.4s 
  [+|=] tabular_eda_07 r2 | tok=3784 13.5s 
  [+|=] tabular_eda_08 r0 | tok=5548 18.1s 
  [x|?] tabular_eda_08 r1 | tok=2796 9.1s 
  [x|?] tabular_eda_08 r2 | tok=2756 9.6s 
  [+|=] tabular_eda_09 r0 | tok=1148 6.3s 
  [+|=] tabular_eda_09 r1 | tok=1152 5.0s 
  [+|=] tabular_eda_09 r2 | tok=1148 5.1s 
  [+|=] tabular_eda_10 r0 | tok=5629 21.5s 
  [+|=] tabular_eda_10 r1 | tok=6318 20.5s 
  [+|=] tabular_eda_10 r2 | tok=5602 18.8s 
  [+|=] tabular_eda_11 r0 | tok=5791 21.8s 
  [+|=] tabular_eda_11 r1 | tok=3817 12.3s 
  [+|=] tabular_eda_11 r2 | tok=3653 13.9s 
