task_id,suite,model,variant,rep,correct,observability,failure_stage,failure_subcategory,propagation_depth,is_silent,is_infra_failure,tokens,final_answer,label_source
tabular_eda_00,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1465,food 2948,rule
tabular_eda_00,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1001,food 2948,rule
tabular_eda_00,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1425,food 2948,rule
tabular_eda_01,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,663,4943,rule
tabular_eda_01,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,606,4943,rule
tabular_eda_01,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1346,4943,rule
tabular_eda_02,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1709,books 1625.0,rule
tabular_eda_02,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1585,books 1625.0,rule
tabular_eda_02,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1913,books 1625.0,rule
tabular_eda_03,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1561,clothing 6,rule
tabular_eda_03,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1364,clothing 6,rule
tabular_eda_03,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1401,clothing 6,rule
tabular_eda_04,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1504,toys 2056,rule
tabular_eda_04,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1282,toys 2056,rule
tabular_eda_04,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1315,toys 2056,rule
tabular_eda_05,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,656,3358,rule
tabular_eda_05,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1473,3358,rule
tabular_eda_05,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,647,3358,rule
tabular_eda_06,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1684,books 1421.0,rule
tabular_eda_06,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1862,books 1421.0,rule
tabular_eda_06,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1812,books 1421.0,rule
tabular_eda_07,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1307,toys 4,rule
tabular_eda_07,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1344,toys 4,rule
tabular_eda_07,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1139,toys 4,rule
tabular_eda_08,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,993,clothing 685,rule
tabular_eda_08,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1692,clothing 685,rule
tabular_eda_08,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1873,clothing 685,rule
tabular_eda_09,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,643,2833,rule
tabular_eda_09,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,665,2833,rule
tabular_eda_09,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,636,2833,rule
tabular_eda_10,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1804,clothing 697.0,rule
tabular_eda_10,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1813,clothing 697.0,rule
tabular_eda_10,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1657,clothing 697.0,rule
tabular_eda_11,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,840,books 5,rule
tabular_eda_11,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1443,books 5,rule
tabular_eda_11,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1314,books 5,rule
tabular_eda_12,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1222,books 967,rule
tabular_eda_12,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1077,books 967,rule
tabular_eda_12,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1468,books 967,rule
tabular_eda_13,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1242,2785,rule
tabular_eda_13,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1790,2785,rule
tabular_eda_13,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,675,2785,rule
tabular_eda_14,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1459,toys 498.0,rule
tabular_eda_14,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1778,toys 498.0,rule
tabular_eda_14,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1565,toys 498.0,rule
tabular_eda_15,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1344,toys 4,rule
tabular_eda_15,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1643,toys 4,rule
tabular_eda_15,synthetic,deepseek-v3,verifier,2,False,silent,interpretation,misread_output,1,True,False,1588,books 4,rule
time_series_00,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,3284,2024-01-12,rule
time_series_00,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,4926,2024-01-12,rule
time_series_00,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1858,2024-01-12,rule
time_series_01,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1390,97.02,rule
time_series_01,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1399,97.02,rule
time_series_01,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1380,97.02,rule
time_series_02,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,7627,0.7714215686274511,rule
time_series_02,synthetic,deepseek-v3,verifier,1,False,silent,interpretation,misread_output,1,True,False,4749,1.2156249999999997,rule
time_series_02,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,3002,0.7714215686274511,rule
time_series_03,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1473,2024-01-07,rule
time_series_03,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1373,2024-01-07,rule
time_series_03,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1433,2024-01-07,rule
time_series_04,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,3659,2024-01-10,rule
time_series_04,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1997,2024-01-10,rule
time_series_04,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1779,2024-01-10,rule
time_series_05,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1425,126.02,rule
time_series_05,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1397,126.02,rule
time_series_05,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1368,126.02,rule
time_series_06,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,2090,1.5395882352641743,rule
time_series_06,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,3160,1.539588235294119,rule
time_series_06,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,2932,1.5395882352941177,rule
time_series_07,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1388,2024-01-08,rule
time_series_07,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1416,2024-01-08,rule
time_series_07,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1393,2024-01-08,rule
time_series_08,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,2017,2024-01-09,rule
time_series_08,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1822,2024-01-09,rule
time_series_08,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1786,2024-01-09,rule
time_series_09,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,1402,83.72,rule
time_series_09,synthetic,deepseek-v3,verifier,1,True,success,none,none,0,False,False,1402,83.72,rule
time_series_09,synthetic,deepseek-v3,verifier,2,True,success,none,none,0,False,False,1373,83.72,rule
time_series_10,synthetic,deepseek-v3,verifier,0,True,success,none,none,0,False,False,7187,-0.9236043955685862,rule
time_series_10,synthetic,deepseek-v3,verifier,1,False,loud,execution,type_error,0,False,False,3130,-1.0689865689865689e-05,rule
